id;host_name;status;last_check
1;mobile Fish;FAILURE;2019-10-10T17:51:51
2;FTP Savings Account;DOWN;2019-10-10T19:14:22
3;Officer;COMPLETE;2019-10-10T08:53:30
4;intangible;PARTIAL;2019-10-10T13:40:18
5;Licensed Savings Account;STALE;2019-10-10T18:08:36
6;Credit Card Account Table Small Frozen Sausages;COMPLETE;2019-10-10T13:43:01
7;Monitored Bahamian Dollar Investment Account;FAILURE;2019-10-10T03:21:28
8;hardware Costa Rica Mayotte;COMPLETE;2019-10-09T23:02:37
9;Views e-enable Communications;DOWN;2019-10-10T18:10:22
10;software scale interactive;COMPLETE;2019-10-10T12:38:03
